CLT AGE,CLT CATEGORIE,SEGMENT,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,CLASSE DE RISQUE,PRIME_ASSURANCE
41,7000,CLASSE MOYENNE,2371,2545.836,0,22140.134,47533.256,0,613.326
59,7000,CLASSE MOYENNE,2143,2567.52,0,0,105812.289,0,1337.511
41,7000,HAUT DE GAMME,1394,4144.909,72643.09729,0,12823.566,0,112.527
50,7000,CLASSE MOYENNE,1669,1920.387,17.883,700.578,58620.267,0,564.284
39,7000,CLASSE MOYENNE,2200,1708.333,0,10122.673,26074.099,0,317.59
71,7000,HAUT DE GAMME,1380,1468.25,0,1055.471,2015.729,0,80
44,7000,HAUT DE GAMME,9264,11609.566,7223.423,56865.56,364492.092,0,3737.526
45,7000,CLASSE MOYENNE,1772,1495.716,305.601,0,12443.459,0,87.353
42,7000,HAUT DE GAMME,1948,9110.079,18920.731,0,6038.935,0,80
49,7000,CLASSE MOYENNE,2032,1835.075,0,15808.004,21014.023,0,416.838
50,7000,CLASSE MOYENNE,1048,941.417,0,0,27867.181,0,404.521
46,7000,CLASSE MOYENNE,673,1373.956,4525.022,0,4958.561,0,80
46,7000,CLASSE MOYENNE,1488,1179.443,26.884,0,50580.154,0,720.523
63,7000,GRAND PUBLIC,480,492.815,1677.596,0,11571.907,0,203.087
46,7000,CLASSE MOYENNE,1851,2084.083,712.106,0,82157.304,0,1045.058
57,7000,CLASSE MOYENNE,2099,3225.094,2074.375,5487.555,23312.635,0,290.115
41,7000,CLASSE MOYENNE,1170,1849.812,3.094,0,35706.069,0,417.761
38,7000,CLASSE MOYENNE,1310,1987.47,47.313,0,48105.134,0,750.647
54,7000,CLASSE MOYENNE,800,1945.467,822.016,0,15806.206,0,221.919
38,7000,CLASSE MOYENNE,1100,1677.305,3922.738,0,70299.64,0,1101.735
57,7000,CLASSE MOYENNE,2289,1659.079,8934.616,0,70000,0,655.2
42,7000,HAUT DE GAMME,3284,4742.095,0,25351.766,74525.904,0,863.558
43,7000,CLASSE MOYENNE,1878,1931.097,17.65,8868.676,23667.149,0,282.079
51,7000,CLASSE MOYENNE,1330,1933.928,1782.944,0,60527.158,0,1157.965
42,7000,CLASSE MOYENNE,1892,1969.297,5984.483,4049.751,36073.661,0,325.598
46,7000,HAUT DE GAMME,1500,7079.844,17409.359,0,44651.531,0,423.336
41,7000,HAUT DE GAMME,2043,3646.163,12538.025,5000,67656.457,0,582.32
57,7000,CLASSE MOYENNE,1477,1507.193,0,0,57895.027,0,1089.045
38,7000,CLASSE MOYENNE,1752,2198.793,75.609,0,62511.946,0,495.046
58,7000,CLASSE MOYENNE,1567,1952.157,0,2116.171,39976.717,0,403.4
56,6000,HAUT DE GAMME,4000,6428.675,929.749,19650.621,90483.861,0,909.729
59,7000,HAUT DE GAMME,,2909.136,11316.14,0,46391.146,0,80
49,7000,CLASSE MOYENNE,3444,3197.342,5197.355,0,146067.765,0,1847.341
45,7000,CLASSE MOYENNE,3505,3948.277,179.058,0,126424.575,0,1604.275
51,7000,HAUT DE GAMME,3909,3645.292,0,0,174944.065,0,2224.876
43,7000,HAUT DE GAMME,2800,4786.417,0,0,81197.232,0,644.697
45,7000,HAUT DE GAMME,1500,4278.868,23688.245,0,22950.624,0,214.818
50,7000,CLASSE MOYENNE,1000,1305.989,0,0,33249.291,0,467.294
46,7000,CLASSE MOYENNE,2100,3165.232,3492.919,2125.633,19945.034,0,160.905
51,7000,HAUT DE GAMME,,20994.277,14522.151,11715.156,26047.343,0,80
48,7000,CLASSE MOYENNE,,924.725,423.256,0,20781.261,0,80
